person,function,functionGroup,since,contractUntil,certifications,years_experience,notable_achievements,coaching_philosophy,contact_email,phone_number,profile_rating,availability_status
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-10-01,2026-02-03,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.32,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-01-09,2025-09-30,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",12,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-10-13,2022-09-30,"Advanced GK Training, UEFA GK A License",21,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.54,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-10-09,2026-09-30,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",22,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.47,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-10-01,2025-06-10,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-10-01,2027-09-30,"FIFA Management Certificate, Football Management Degree, Sports Administration",19,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.87,True
Augustin Senghor (Senegal),President,Board,2015-10-09,2018-07-09,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.87,True
Moise Katumbi (DR Congo),Chairman,Board,2020-12-15,2023-04-05,Basic Coaching Certificate,13,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.19,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-12-15,2023-05-28,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",8,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.11,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-01,2023-02-15,Advanced Tactical Analysis Certificate,12,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.58,True
Mohamed Mansour (Egypt),Owner,Board,2017-11-25,2019-12-16,"Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.05,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-11-26,2020-05-08,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.9,False
Mohamed Mansour (Egypt),Owner,Board,2020-11-28,2023-04-08,"Basic Coaching Certificate, Basic Coaching Certificate",23,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.83,False
Christopher Samba (Congo),Advisor,Board,2022-09-01,2025-03-30,Basic Coaching Certificate,25,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.79,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-10-01,2022-10-22,"Talent Identification Certificate, Player Analysis",23,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-10-25,2024-09-30,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.82,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-12-02,2025-04-10,"Advanced Tactical Analysis Certificate, CAF B License",23,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.26,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-10-01,2019-09-23,Basic Coaching Certificate,4,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,3.95,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-10-01,2021-04-11,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.31,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-11-26,2025-11-17,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.58,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-11-26,2023-02-04,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.79,False
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-11-18,2025-03-23,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.43,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-02-27,2024-11-17,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-11-30,2021-11-17,"Advanced GK Training, UEFA GK A License",19,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.91,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-11-26,2025-11-17,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.2,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-11-18,2024-07-28,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",11,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-11-18,2026-11-17,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.05,False
Augustin Senghor (Senegal),President,Board,2014-11-26,2017-08-26,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-02-02,2022-05-23,Basic Coaching Certificate,14,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.13,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-02-02,2022-07-15,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",5,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.2,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-02-19,2022-04-04,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.64,False
Mohamed Mansour (Egypt),Owner,Board,2017-01-12,2019-02-02,"Basic Coaching Certificate, Basic Coaching Certificate",21,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.1,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-01-13,2019-06-26,"Basic Coaching Certificate, Basic Coaching Certificate",8,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.09,False
Mohamed Mansour (Egypt),Owner,Board,2020-01-16,2022-05-26,"Basic Coaching Certificate, Basic Coaching Certificate",25,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,False
Christopher Samba (Congo),Advisor,Board,2021-10-19,2024-05-17,Basic Coaching Certificate,25,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-11-19,2021-12-09,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.9,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-12-12,2023-11-18,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.5,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-01-19,2024-05-28,"Advanced Tactical Analysis Certificate, CAF B License",24,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.66,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-11-19,2018-11-10,Basic Coaching Certificate,7,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,3.99,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-11-18,2020-05-29,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.16,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-12-22,2025-12-13,UEFA Pro License,16,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.78,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-12-22,2023-03-02,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",9,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,5.0,False
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-12-14,2025-04-18,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.85,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-03-24,2024-12-13,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",11,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-12-26,2021-12-13,"Advanced GK Training, UEFA GK A License",22,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,4.12,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-12-22,2025-12-13,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.5,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-12-14,2024-08-23,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.76,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-12-14,2026-12-13,"FIFA Management Certificate, Football Management Degree, Sports Administration",16,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.89,False
Augustin Senghor (Senegal),President,Board,2014-12-22,2017-09-21,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-02-28,2022-06-18,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.07,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-02-28,2022-08-10,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",4,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.11,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-03-16,2022-04-30,Advanced Tactical Analysis Certificate,11,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.99,False
Mohamed Mansour (Egypt),Owner,Board,2017-02-07,2019-02-28,"Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,3.94,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-02-08,2019-07-22,"Basic Coaching Certificate, Basic Coaching Certificate",10,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.26,True
Mohamed Mansour (Egypt),Owner,Board,2020-02-11,2022-06-21,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2021-11-14,2024-06-12,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.58,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-12-15,2022-01-04,"Talent Identification Certificate, Player Analysis",20,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-01-07,2023-12-14,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.55,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-02-14,2024-06-23,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.8,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-12-15,2018-12-06,Basic Coaching Certificate,5,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.42,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-12-14,2020-06-24,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",15,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.17,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-11-01,2025-10-23,UEFA Pro License,13,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,4.0,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-11-01,2023-01-10,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.72,False
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-10-24,2025-02-26,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.8,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-02-02,2024-10-23,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-11-05,2021-10-23,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.56,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-11-01,2025-10-23,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.16,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-10-24,2024-07-03,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",9,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.62,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-10-24,2026-10-23,"FIFA Management Certificate, Football Management Degree, Sports Administration",16,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.8,True
Augustin Senghor (Senegal),President,Board,2014-11-01,2017-08-01,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.84,False
Moise Katumbi (DR Congo),Chairman,Board,2020-01-08,2022-04-28,Basic Coaching Certificate,13,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.38,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-01-08,2022-06-20,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",5,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.21,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-01-25,2022-03-10,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.87,False
Mohamed Mansour (Egypt),Owner,Board,2016-12-18,2019-01-08,"Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.23,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2016-12-19,2019-06-01,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.18,False
Mohamed Mansour (Egypt),Owner,Board,2019-12-22,2022-05-01,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.62,True
Christopher Samba (Congo),Advisor,Board,2021-09-24,2024-04-22,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-10-25,2021-11-14,"Talent Identification Certificate, Player Analysis",22,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.96,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-11-17,2023-10-24,Talent ID License,12,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.77,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2021-12-25,2024-05-03,"Advanced Tactical Analysis Certificate, CAF B License",26,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.66,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-10-25,2018-10-16,Basic Coaching Certificate,7,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.15,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-10-24,2020-05-04,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",14,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.13,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-12-02,2025-11-23,UEFA Pro License,14,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.79,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-12-02,2023-02-10,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",7,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,5.0,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-11-24,2025-03-29,UEFA A License,15,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.51,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-03-04,2024-11-23,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-12-06,2021-11-23,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.7,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-12-02,2025-11-23,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",24,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.72,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-11-24,2024-08-03,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",12,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.84,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-11-24,2026-11-23,"FIFA Management Certificate, Football Management Degree, Sports Administration",18,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.27,True
Augustin Senghor (Senegal),President,Board,2014-12-02,2017-09-01,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,False
Moise Katumbi (DR Congo),Chairman,Board,2020-02-08,2022-05-29,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.29,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-02-08,2022-07-21,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.83,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-02-25,2022-04-10,Advanced Tactical Analysis Certificate,13,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.64,False
Mohamed Mansour (Egypt),Owner,Board,2017-01-18,2019-02-08,"Basic Coaching Certificate, Basic Coaching Certificate",21,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.33,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-01-19,2019-07-02,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.16,False
Mohamed Mansour (Egypt),Owner,Board,2020-01-22,2022-06-01,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2021-10-25,2024-05-23,Basic Coaching Certificate,24,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.76,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-11-25,2021-12-15,"Talent Identification Certificate, Player Analysis",23,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.71,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-12-18,2023-11-24,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.72,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-01-25,2024-06-03,"Advanced Tactical Analysis Certificate, CAF B License",26,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.42,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-11-25,2018-11-16,Basic Coaching Certificate,8,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.39,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-11-24,2020-06-04,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,3.91,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2022-01-11,2027-01-02,UEFA Pro License,14,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.94,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2022-01-11,2024-03-21,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.98,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2024-01-03,2026-05-08,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.86,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-04-13,2026-01-02,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.59,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2022-01-15,2023-01-02,"Advanced GK Training, UEFA GK A License",20,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,4.06,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2022-01-11,2027-01-02,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.65,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2023-01-03,2025-09-12,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.87,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2015-01-03,2028-01-02,"FIFA Management Certificate, Football Management Degree, Sports Administration",18,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.28,False
Augustin Senghor (Senegal),President,Board,2016-01-11,2018-10-11,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2021-03-19,2023-07-08,Basic Coaching Certificate,12,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.35,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-03-19,2023-08-30,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.0,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-04-05,2023-05-20,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,4.06,True
Mohamed Mansour (Egypt),Owner,Board,2018-02-27,2020-03-19,"Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.15,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2018-02-28,2020-08-10,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.11,False
Mohamed Mansour (Egypt),Owner,Board,2021-03-02,2023-07-11,"Basic Coaching Certificate, Basic Coaching Certificate",24,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2022-12-04,2025-07-02,Basic Coaching Certificate,23,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2021-01-03,2023-01-24,"Talent Identification Certificate, Player Analysis",22,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.89,True
